"TOA5","CR6Series","CR6","3767","CR6.Std.04 CR6-WIFI.01","CPU:ew_fullsun_code Rev1.CR6","51073","soil_moi"
"TIMESTAMP","RECORD","BattV_Min","VW_Avg"
"TS","RN","Volts",""
"","","Min","Avg"
"2018-07-13 12:00:00",0,13.87,"NAN"
"2018-07-13 13:00:00",1,13.86,"NAN"
"2018-07-13 14:00:00",2,13.85,"NAN"
"2018-07-13 15:00:00",3,13.84,"NAN"
"2018-07-13 16:00:00",4,13.72,"NAN"
"2018-07-13 17:00:00",5,13.6,"NAN"
"2018-07-13 18:00:00",6,13.6,"NAN"
"2018-07-13 19:00:00",7,13.64,"NAN"
"2018-07-13 20:00:00",8,13.76,"NAN"
"2018-07-13 21:00:00",9,12.88,"NAN"
"2018-07-13 22:00:00",10,12.84,"NAN"
"2018-07-13 23:00:00",11,12.81,"NAN"
"2018-07-14 00:00:00",12,12.81,"NAN"
"2018-07-14 01:00:00",13,12.77,"NAN"
"2018-07-14 02:00:00",14,12.77,"NAN"
"2018-07-14 03:00:00",15,12.77,"NAN"
"2018-07-14 04:00:00",16,12.76,"NAN"
"2018-07-14 05:00:00",17,12.74,"NAN"
"2018-07-14 06:00:00",18,12.74,"NAN"
"2018-07-14 07:00:00",19,12.74,"NAN"
"2018-07-14 08:00:00",20,12.93,"NAN"
"2018-07-14 09:00:00",21,13.96,"NAN"
"2018-07-14 10:00:00",22,13.95,"NAN"
"2018-07-14 11:00:00",23,13.95,"NAN"
"2018-07-14 12:00:00",24,14.17,"NAN"
"2018-07-14 13:00:00",25,14.11,"NAN"
"2018-07-14 14:00:00",26,14,"NAN"
"2018-07-14 15:00:00",27,13.95,"NAN"
"2018-07-14 16:00:00",28,13.79,"NAN"
"2018-07-14 17:00:00",29,13.75,"NAN"
"2018-07-14 18:00:00",30,13.76,"NAN"
"2018-07-14 19:00:00",31,13.95,"NAN"
"2018-07-14 20:00:00",32,13.79,"NAN"
"2018-07-14 21:00:00",33,12.89,"NAN"
"2018-07-14 22:00:00",34,12.85,"NAN"
"2018-07-14 23:00:00",35,12.83,"NAN"
"2018-07-15 00:00:00",36,12.81,"NAN"
"2018-07-15 01:00:00",37,12.8,"NAN"
"2018-07-15 02:00:00",38,12.77,"NAN"
"2018-07-15 03:00:00",39,12.77,"NAN"
"2018-07-15 04:00:00",40,12.77,"NAN"
"2018-07-15 05:00:00",41,12.76,"NAN"
"2018-07-15 06:00:00",42,12.74,"NAN"
"2018-07-15 07:00:00",43,12.75,"NAN"
"2018-07-15 08:00:00",44,12.9,"NAN"
"2018-07-15 09:00:00",45,13.23,"NAN"
"2018-07-15 10:00:00",46,14.23,"NAN"
"2018-07-15 11:00:00",47,14.11,"NAN"
"2018-07-15 12:00:00",48,14.1,"NAN"
"2018-07-15 13:00:00",49,14.14,"NAN"
"2018-07-15 14:00:00",50,14.06,"NAN"
"2018-07-15 15:00:00",51,13.91,"NAN"
"2018-07-15 16:00:00",52,13.26,"NAN"
"2018-07-15 17:00:00",53,14.11,"NAN"
"2018-07-15 18:00:00",54,14.26,"NAN"
"2018-07-15 19:00:00",55,14.3,"NAN"
"2018-07-15 20:00:00",56,13.84,"NAN"
"2018-07-15 21:00:00",57,12.89,"NAN"
"2018-07-15 22:00:00",58,12.85,"NAN"
"2018-07-15 23:00:00",59,12.84,"NAN"
"2018-07-16 00:00:00",60,12.81,"NAN"
"2018-07-16 01:00:00",61,12.81,"NAN"
"2018-07-16 02:00:00",62,12.78,"NAN"
"2018-07-16 03:00:00",63,12.77,"NAN"
"2018-07-16 04:00:00",64,12.77,"NAN"
"2018-07-16 05:00:00",65,12.76,"NAN"
"2018-07-16 06:00:00",66,12.74,"NAN"
"2018-07-16 07:00:00",67,12.74,"NAN"
"2018-07-16 08:00:00",68,12.9,"NAN"
"2018-07-16 09:00:00",69,14.19,"NAN"
"2018-07-16 10:00:00",70,14.1,"NAN"
"2018-07-16 11:00:00",71,14.21,"NAN"
"2018-07-16 12:00:00",72,14.19,"NAN"
"2018-07-16 13:00:00",73,14.18,"NAN"
"2018-07-16 14:00:00",74,14.17,"NAN"
"2018-07-16 15:00:00",75,14.14,"NAN"
"2018-07-16 16:00:00",76,13.83,"NAN"
"2018-07-16 17:00:00",77,13.8,"NAN"
"2018-07-16 18:00:00",78,13.79,"NAN"
"2018-07-16 19:00:00",79,14.1,"NAN"
"2018-07-16 20:00:00",80,14.15,"NAN"
"2018-07-16 21:00:00",81,12.89,"NAN"
"2018-07-16 22:00:00",82,12.85,"NAN"
"2018-07-16 23:00:00",83,12.85,"NAN"
"2018-07-17 00:00:00",84,12.81,"NAN"
"2018-07-17 01:00:00",85,12.8,"NAN"
"2018-07-17 02:00:00",86,12.78,"NAN"
"2018-07-17 03:00:00",87,12.77,"NAN"
"2018-07-17 04:00:00",88,12.77,"NAN"
"2018-07-17 05:00:00",89,12.77,"NAN"
"2018-07-17 06:00:00",90,12.76,"NAN"
"2018-07-17 07:00:00",91,12.75,"NAN"
"2018-07-17 08:00:00",92,12.81,"NAN"
"2018-07-17 09:00:00",93,12.88,"NAN"
"2018-07-17 10:00:00",94,13.19,"NAN"
"2018-07-17 11:00:00",95,14.15,"NAN"
"2018-07-17 12:00:00",96,14.06,"NAN"
"2018-07-17 13:00:00",97,13.96,"NAN"
"2018-07-17 14:00:00",98,13.96,"NAN"
"2018-07-17 15:00:00",99,14.02,"NAN"
"2018-07-17 16:00:00",100,14.09,"NAN"
"2018-07-17 17:00:00",101,13.87,"NAN"
"2018-07-17 18:00:00",102,13.91,"NAN"
"2018-07-17 19:00:00",103,14.06,"NAN"
"2018-07-17 20:00:00",104,13.95,"NAN"
"2018-07-17 21:00:00",105,12.9,"NAN"
"2018-07-17 22:00:00",106,12.85,"NAN"
"2018-07-17 23:00:00",107,12.84,"NAN"
"2018-07-18 00:00:00",108,12.81,"NAN"
"2018-07-18 01:00:00",109,12.81,"NAN"
"2018-07-18 02:00:00",110,12.78,"NAN"
"2018-07-18 03:00:00",111,12.77,"NAN"
"2018-07-18 04:00:00",112,12.77,"NAN"
"2018-07-18 05:00:00",113,12.74,"NAN"
"2018-07-18 06:00:00",114,12.73,"NAN"
"2018-07-18 07:00:00",115,12.73,"NAN"
"2018-07-18 08:00:00",116,12.86,"NAN"
"2018-07-18 09:00:00",117,14.23,"NAN"
"2018-07-18 10:00:00",118,14.12,"NAN"
"2018-07-18 11:00:00",119,14.15,"NAN"
"2018-07-18 12:00:00",120,14.26,"NAN"
"2018-07-18 13:00:00",121,14.34,"NAN"
"2018-07-18 14:00:00",122,14.29,"NAN"
"2018-07-18 15:00:00",123,14.18,"NAN"
"2018-07-18 16:00:00",124,14.14,"NAN"
"2018-07-18 17:00:00",125,14.06,"NAN"
"2018-07-18 18:00:00",126,13.95,"NAN"
"2018-07-18 19:00:00",127,14.06,"NAN"
"2018-07-18 20:00:00",128,14.06,"NAN"
"2018-07-18 21:00:00",129,12.9,"NAN"
"2018-07-18 22:00:00",130,12.86,"NAN"
"2018-07-18 23:00:00",131,12.85,"NAN"
"2018-07-19 00:00:00",132,12.81,"NAN"
"2018-07-19 01:00:00",133,12.81,"NAN"
"2018-07-19 02:00:00",134,12.78,"NAN"
"2018-07-19 03:00:00",135,12.77,"NAN"
"2018-07-19 04:00:00",136,12.77,"NAN"
"2018-07-19 05:00:00",137,12.74,"NAN"
"2018-07-19 06:00:00",138,12.73,"NAN"
"2018-07-19 07:00:00",139,12.74,"NAN"
"2018-07-19 08:00:00",140,12.86,"NAN"
"2018-07-19 09:00:00",141,14.36,"NAN"
"2018-07-19 10:00:00",142,14.24,"NAN"
"2018-07-19 11:00:00",143,14.24,"NAN"
"2018-07-19 12:00:00",144,14.25,"NAN"
"2018-07-19 13:00:00",145,14.25,"NAN"
"2018-07-19 14:00:00",146,14.25,"NAN"
"2018-07-19 15:00:00",147,14.19,"NAN"
"2018-07-19 16:00:00",148,14.05,"NAN"
"2018-07-19 17:00:00",149,13.98,"NAN"
"2018-07-19 18:00:00",150,13.99,"NAN"
"2018-07-19 19:00:00",151,13.97,"NAN"
"2018-07-19 20:00:00",152,13.93,"NAN"
"2018-07-19 21:00:00",153,12.91,"NAN"
"2018-07-19 22:00:00",154,12.85,"NAN"
"2018-07-19 23:00:00",155,12.84,"NAN"
"2018-07-20 00:00:00",156,12.82,"NAN"
"2018-07-20 01:00:00",157,12.81,"NAN"
"2018-07-20 02:00:00",158,12.78,"NAN"
"2018-07-20 03:00:00",159,12.77,"NAN"
"2018-07-20 04:00:00",160,12.77,"NAN"
"2018-07-20 05:00:00",161,12.77,"NAN"
"2018-07-20 06:00:00",162,12.74,"NAN"
"2018-07-20 07:00:00",163,12.74,"NAN"
"2018-07-20 08:00:00",164,12.9,"NAN"
"2018-07-20 09:00:00",165,13.31,"NAN"
"2018-07-20 10:00:00",166,14.19,"NAN"
"2018-07-20 11:00:00",167,14.18,"NAN"
"2018-07-20 12:00:00",168,14.19,"NAN"
"2018-07-20 13:00:00",169,14.18,"NAN"
"2018-07-20 14:00:00",170,14.18,"NAN"
"2018-07-20 15:00:00",171,14.17,"NAN"
"2018-07-20 16:00:00",172,14.13,"NAN"
"2018-07-20 17:00:00",173,14.24,"NAN"
"2018-07-20 18:00:00",174,13.83,"NAN"
"2018-07-20 19:00:00",175,14.36,"NAN"
"2018-07-20 20:00:00",176,14.45,"NAN"
"2018-07-20 21:00:00",177,12.89,"NAN"
"2018-07-20 22:00:00",178,12.85,"NAN"
"2018-07-20 23:00:00",179,12.85,"NAN"
"2018-07-21 00:00:00",180,12.82,"NAN"
"2018-07-21 01:00:00",181,12.81,"NAN"
"2018-07-21 02:00:00",182,12.8,"NAN"
"2018-07-21 03:00:00",183,12.77,"NAN"
"2018-07-21 04:00:00",184,12.77,"NAN"
"2018-07-21 05:00:00",185,12.78,"NAN"
"2018-07-21 06:00:00",186,12.77,"NAN"
"2018-07-21 07:00:00",187,12.76,"NAN"
"2018-07-21 08:00:00",188,12.81,"NAN"
"2018-07-21 09:00:00",189,13.01,"NAN"
"2018-07-21 10:00:00",190,13.17,"NAN"
"2018-07-21 11:00:00",191,14.41,"NAN"
"2018-07-21 12:00:00",192,14.33,"NAN"
"2018-07-21 13:00:00",193,14.29,"NAN"
"2018-07-21 14:00:00",194,14.27,"NAN"
"2018-07-21 15:00:00",195,14.24,"NAN"
"2018-07-21 16:00:00",196,14.26,"NAN"
"2018-07-21 17:00:00",197,14.39,"NAN"
"2018-07-21 18:00:00",198,14.37,"NAN"
"2018-07-21 19:00:00",199,14.37,"NAN"
"2018-07-21 20:00:00",200,14.37,"NAN"
"2018-07-21 21:00:00",201,12.93,"NAN"
"2018-07-21 22:00:00",202,12.87,"NAN"
"2018-07-21 23:00:00",203,12.85,"NAN"
"2018-07-22 00:00:00",204,12.83,"NAN"
"2018-07-22 01:00:00",205,12.81,"NAN"
"2018-07-22 02:00:00",206,12.81,"NAN"
"2018-07-22 03:00:00",207,12.78,"NAN"
"2018-07-22 04:00:00",208,12.77,"NAN"
"2018-07-22 05:00:00",209,12.77,"NAN"
"2018-07-22 06:00:00",210,12.77,"NAN"
"2018-07-22 07:00:00",211,12.77,"NAN"
"2018-07-22 08:00:00",212,12.93,"NAN"
"2018-07-22 09:00:00",213,13.34,"NAN"
"2018-07-22 10:00:00",214,14.47,"NAN"
"2018-07-22 11:00:00",215,14.42,"NAN"
"2018-07-22 12:00:00",216,14.4,"NAN"
"2018-07-22 13:00:00",217,14.34,"NAN"
"2018-07-22 14:00:00",218,14.3,"NAN"
"2018-07-22 15:00:00",219,14.25,"NAN"
"2018-07-22 16:00:00",220,14.28,"NAN"
"2018-07-22 17:00:00",221,13.01,"NAN"
"2018-07-22 18:00:00",222,14.42,"NAN"
"2018-07-22 19:00:00",223,14.39,"NAN"
"2018-07-22 20:00:00",224,14.42,"NAN"
"2018-07-22 21:00:00",225,12.93,"NAN"
"2018-07-22 22:00:00",226,12.87,"NAN"
"2018-07-22 23:00:00",227,12.85,"NAN"
"2018-07-23 00:00:00",228,12.84,"NAN"
"2018-07-23 01:00:00",229,12.82,"NAN"
"2018-07-23 02:00:00",230,12.81,"NAN"
"2018-07-23 03:00:00",231,12.81,"NAN"
"2018-07-23 04:00:00",232,12.78,"NAN"
"2018-07-23 05:00:00",233,12.77,"NAN"
"2018-07-23 06:00:00",234,12.77,"NAN"
"2018-07-23 07:00:00",235,12.77,"NAN"
"2018-07-23 08:00:00",236,12.84,"NAN"
"2018-07-23 09:00:00",237,13.52,"NAN"
"2018-07-23 10:00:00",238,14.4,"NAN"
"2018-07-23 11:00:00",239,14.34,"NAN"
"2018-07-23 12:00:00",240,14.3,"NAN"
"2018-07-23 13:00:00",241,14.3,"NAN"
"2018-07-23 14:00:00",242,14.25,"NAN"
"2018-07-23 15:00:00",243,14.26,"NAN"
"2018-07-23 16:00:00",244,14.19,"NAN"
"2018-07-23 17:00:00",245,14.25,"NAN"
"2018-07-23 18:00:00",246,14.13,"NAN"
"2018-07-23 19:00:00",247,14.15,"NAN"
"2018-07-23 20:00:00",248,14.23,"NAN"
"2018-07-23 21:00:00",249,12.93,"NAN"
"2018-07-23 22:00:00",250,12.89,"NAN"
"2018-07-23 23:00:00",251,12.85,"NAN"
"2018-07-24 00:00:00",252,12.85,"NAN"
"2018-07-24 01:00:00",253,12.84,"NAN"
"2018-07-24 02:00:00",254,12.81,"NAN"
"2018-07-24 03:00:00",255,12.81,"NAN"
"2018-07-24 04:00:00",256,12.8,"NAN"
"2018-07-24 05:00:00",257,12.78,"NAN"
"2018-07-24 06:00:00",258,12.77,"NAN"
"2018-07-24 07:00:00",259,12.77,"NAN"
"2018-07-24 08:00:00",260,12.85,"NAN"
"2018-07-24 09:00:00",261,13.48,"NAN"
"2018-07-24 10:00:00",262,14.37,"NAN"
"2018-07-24 11:00:00",263,14.3,"NAN"
"2018-07-24 12:00:00",264,14.25,"NAN"
"2018-07-24 13:00:00",265,14.26,"NAN"
"2018-07-24 14:00:00",266,14.18,"NAN"
"2018-07-24 15:00:00",267,14.17,"NAN"
"2018-07-24 16:00:00",268,14.18,"NAN"
"2018-07-24 17:00:00",269,14.18,"NAN"
"2018-07-24 18:00:00",270,14.27,"NAN"
"2018-07-24 19:00:00",271,14.27,"NAN"
"2018-07-24 20:00:00",272,14,"NAN"
"2018-07-24 21:00:00",273,12.9,"NAN"
"2018-07-24 22:00:00",274,12.86,"NAN"
"2018-07-24 23:00:00",275,12.85,"NAN"
"2018-07-25 00:00:00",276,12.85,"NAN"
"2018-07-25 01:00:00",277,12.82,"NAN"
"2018-07-25 02:00:00",278,12.81,"NAN"
"2018-07-25 03:00:00",279,12.81,"NAN"
"2018-07-25 04:00:00",280,12.8,"NAN"
"2018-07-25 05:00:00",281,12.78,"NAN"
"2018-07-25 06:00:00",282,12.77,"NAN"
"2018-07-25 07:00:00",283,12.77,"NAN"
"2018-07-25 08:00:00",284,12.81,"NAN"
"2018-07-25 09:00:00",285,12.93,"NAN"
"2018-07-25 10:00:00",286,13.2,"NAN"
"2018-07-25 11:00:00",287,14.42,"NAN"
"2018-07-25 12:00:00",288,14.37,"NAN"
"2018-07-25 13:00:00",289,14.33,"NAN"
"2018-07-25 14:00:00",290,14.33,"NAN"
"2018-07-25 15:00:00",291,14.38,"NAN"
"2018-07-25 16:00:00",292,14.3,"NAN"
"2018-07-25 17:00:00",293,14.29,"NAN"
"2018-07-25 18:00:00",294,14.26,"NAN"
"2018-07-25 19:00:00",295,14.26,"NAN"
"2018-07-25 20:00:00",296,14.34,"NAN"
"2018-07-25 21:00:00",297,12.93,"NAN"
"2018-07-25 22:00:00",298,12.89,"NAN"
"2018-07-25 23:00:00",299,12.85,"NAN"
"2018-07-26 00:00:00",300,12.85,"NAN"
"2018-07-26 01:00:00",301,12.84,"NAN"
"2018-07-26 02:00:00",302,12.82,"NAN"
"2018-07-26 03:00:00",303,12.81,"NAN"
"2018-07-26 04:00:00",304,12.81,"NAN"
"2018-07-26 05:00:00",305,12.79,"NAN"
"2018-07-26 06:00:00",306,12.77,"NAN"
"2018-07-26 07:00:00",307,12.77,"NAN"
"2018-07-26 08:00:00",308,12.86,"NAN"
"2018-07-26 09:00:00",309,14.11,"NAN"
"2018-07-26 10:00:00",310,14.38,"NAN"
"2018-07-26 11:00:00",311,14.38,"NAN"
"2018-07-26 12:00:00",312,14.33,"NAN"
"2018-07-26 13:00:00",313,14.3,"NAN"
"2018-07-26 14:00:00",314,14.28,"NAN"
"2018-07-26 15:00:00",315,14.22,"NAN"
"2018-07-26 16:00:00",316,14.07,"NAN"
"2018-07-26 17:00:00",317,13.79,"NAN"
"2018-07-26 18:00:00",318,13.8,"NAN"
"2018-07-26 19:00:00",319,14.11,"NAN"
"2018-07-26 20:00:00",320,14.24,"NAN"
"2018-07-26 21:00:00",321,12.92,"NAN"
"2018-07-26 22:00:00",322,12.89,"NAN"
"2018-07-26 23:00:00",323,12.85,"NAN"
"2018-07-27 00:00:00",324,12.85,"NAN"
"2018-07-27 01:00:00",325,12.82,"NAN"
"2018-07-27 02:00:00",326,12.81,"NAN"
"2018-07-27 03:00:00",327,12.81,"NAN"
"2018-07-27 04:00:00",328,12.8,"NAN"
"2018-07-27 05:00:00",329,12.78,"NAN"
"2018-07-27 06:00:00",330,12.77,"NAN"
"2018-07-27 07:00:00",331,12.78,"NAN"
"2018-07-27 08:00:00",332,12.97,"NAN"
"2018-07-27 09:00:00",333,13.37,"NAN"
"2018-07-27 10:00:00",334,14.45,"NAN"
"2018-07-27 11:00:00",335,14.33,"NAN"
"2018-07-27 12:00:00",336,14.33,"NAN"
"2018-07-27 13:00:00",337,14.42,"NAN"
"2018-07-27 14:00:00",338,14.42,"NAN"
"2018-07-27 15:00:00",339,14.37,"NAN"
"2018-07-27 16:00:00",340,14.25,"NAN"
"2018-07-27 17:00:00",341,14.14,"NAN"
"2018-07-27 18:00:00",342,14.14,"NAN"
"2018-07-27 19:00:00",343,14.18,"NAN"
"2018-07-27 20:00:00",344,14.26,"NAN"
"2018-07-27 21:00:00",345,12.93,"NAN"
"2018-07-27 22:00:00",346,12.88,"NAN"
"2018-07-27 23:00:00",347,12.86,"NAN"
"2018-07-28 00:00:00",348,12.85,"NAN"
"2018-07-28 01:00:00",349,12.84,"NAN"
"2018-07-28 02:00:00",350,12.82,"NAN"
"2018-07-28 03:00:00",351,12.81,"NAN"
"2018-07-28 04:00:00",352,12.8,"NAN"
"2018-07-28 05:00:00",353,12.78,"NAN"
"2018-07-28 06:00:00",354,12.77,"NAN"
"2018-07-28 07:00:00",355,12.78,"NAN"
"2018-07-28 08:00:00",356,12.93,"NAN"
"2018-07-28 09:00:00",357,14.37,"NAN"
"2018-07-28 10:00:00",358,14.29,"NAN"
"2018-07-28 11:00:00",359,14.25,"NAN"
"2018-07-28 12:00:00",360,14.26,"NAN"
"2018-07-28 13:00:00",361,14.29,"NAN"
"2018-07-28 14:00:00",362,14.29,"NAN"
"2018-07-28 15:00:00",363,14.28,"NAN"
"2018-07-28 16:00:00",364,14.15,"NAN"
"2018-07-28 17:00:00",365,14.11,"NAN"
"2018-07-28 18:00:00",366,14.13,"NAN"
"2018-07-28 19:00:00",367,14.18,"NAN"
"2018-07-28 20:00:00",368,14.18,"NAN"
"2018-07-28 21:00:00",369,12.92,"NAN"
"2018-07-28 22:00:00",370,12.88,"NAN"
"2018-07-28 23:00:00",371,12.85,"NAN"
"2018-07-29 00:00:00",372,12.85,"NAN"
"2018-07-29 01:00:00",373,12.82,"NAN"
"2018-07-29 02:00:00",374,12.8,"NAN"
"2018-07-29 03:00:00",375,12.81,"NAN"
"2018-07-29 04:00:00",376,12.78,"NAN"
"2018-07-29 05:00:00",377,12.77,"NAN"
"2018-07-29 06:00:00",378,12.77,"NAN"
"2018-07-29 07:00:00",379,12.77,"NAN"
"2018-07-29 08:00:00",380,12.91,"NAN"
"2018-07-29 09:00:00",381,14.42,"NAN"
"2018-07-29 10:00:00",382,14.27,"NAN"
"2018-07-29 11:00:00",383,14.25,"NAN"
"2018-07-29 12:00:00",384,14.22,"NAN"
"2018-07-29 13:00:00",385,14.24,"NAN"
"2018-07-29 14:00:00",386,14.25,"NAN"
"2018-07-29 15:00:00",387,14.26,"NAN"
"2018-07-29 16:00:00",388,14.15,"NAN"
"2018-07-29 17:00:00",389,14.05,"NAN"
"2018-07-29 18:00:00",390,14.06,"NAN"
"2018-07-29 19:00:00",391,14.1,"NAN"
"2018-07-29 20:00:00",392,13.59,"NAN"
"2018-07-29 21:00:00",393,12.9,"NAN"
"2018-07-29 22:00:00",394,12.89,"NAN"
"2018-07-29 23:00:00",395,12.85,"NAN"
"2018-07-30 00:00:00",396,12.85,"NAN"
"2018-07-30 01:00:00",397,12.83,"NAN"
"2018-07-30 02:00:00",398,12.81,"NAN"
"2018-07-30 03:00:00",399,12.81,"NAN"
"2018-07-30 04:00:00",400,12.79,"NAN"
"2018-07-30 05:00:00",401,12.77,"NAN"
"2018-07-30 06:00:00",402,12.77,"NAN"
"2018-07-30 07:00:00",403,12.77,"NAN"
"2018-07-30 08:00:00",404,12.91,"NAN"
"2018-07-30 09:00:00",405,14.46,"NAN"
"2018-07-30 10:00:00",406,14.48,"NAN"
"2018-07-30 11:00:00",407,14.5,"NAN"
"2018-07-30 12:00:00",408,13.49,"NAN"
"2018-07-30 13:00:00",409,14.53,"NAN"
"2018-07-30 14:00:00",410,14.53,"NAN"
"2018-07-30 15:00:00",411,14.5,"NAN"
"2018-07-30 16:00:00",412,14.33,"NAN"
"2018-07-30 17:00:00",413,14.19,"NAN"
"2018-07-30 18:00:00",414,14.18,"NAN"
"2018-07-30 19:00:00",415,14.23,"NAN"
"2018-07-30 20:00:00",416,13.48,"NAN"
"2018-07-30 21:00:00",417,12.93,"NAN"
"2018-07-30 22:00:00",418,12.89,"NAN"
"2018-07-30 23:00:00",419,12.87,"NAN"
"2018-07-31 00:00:00",420,12.85,"NAN"
"2018-07-31 01:00:00",421,12.85,"NAN"
"2018-07-31 02:00:00",422,12.83,"NAN"
"2018-07-31 03:00:00",423,12.81,"NAN"
"2018-07-31 04:00:00",424,12.81,"NAN"
"2018-07-31 05:00:00",425,12.81,"NAN"
"2018-07-31 06:00:00",426,12.78,"NAN"
"2018-07-31 07:00:00",427,12.77,"NAN"
